id,Condition,Symptom 1,Symptom 2,Symptom 3,Symptom 4
933,Sprains,Bruising of joint,Swelling of joint,,
934,Cardiac Arrest,Absence of pulse,Chest pain,,
935,Stroke,Slurred speech,Loss of arm mobility,Lopsided facial expression,
936,Concussion,Unconsciousness,Bruising/swelling on head,,
937,Heatstroke,Dizziness/light-headed,Excessive sweating,,
938,Stroke,Lopsided facial expression,,,
939,Bone Fracture/Dislocation,Visible deformity of bone/joint,Swelling of joint,,
940,Epileptic Seizures,Disorientation,,,
941,Cardiac Arrest,Absence of pulse,,,
942,Hyperventilation,Disorientation,Palpitation/rapid pulse,Dizziness/light-headed,
943,Epileptic Seizures,Unconsciousness,Jerking of limbs,Disorientation,
944,Concussion,Unconsciousness,Headache,,
945,External Bleeding,Bleeding from an open wound,,,
946,Epileptic Seizures,Jerking of limbs,Disorientation,,
947,Sprains,Swelling of joint,,,
948,External Bleeding,Bleeding from an open wound,,,
949,Epileptic Seizures,Breathing difficulty,Unconsciousness,Disorientation,
950,Bone Fracture/Dislocation,Bruising of joint,Visible deformity of bone/joint,,
951,Sprains,Bruising of joint,,,
952,Concussion,Unconsciousness,Disorientation,Headache,Bruising/swelling on head
953,Concussion,Bruising/swelling on head,,,
954,External Bleeding,Bleeding from an open wound,,,
955,Cardiac Arrest,Absence of pulse,,,
956,Epileptic Seizures,Breathing difficulty,Unconsciousness,,
957,Sprains,Bruising of joint,,,
958,Bone Fracture/Dislocation,Bruising of joint,,,
959,External Bleeding,Bleeding from an open wound,,,
960,Cardiac Arrest,Chest pain,Absence of pulse,Unconsciousness,Breathing difficulty
961,Sprains,Bruising of joint,Swelling of joint,,
962,Heatstroke,High body temperature,Clammy skin,Excessive sweating,
963,External Bleeding,Bleeding from an open wound,,,
964,Burn/Scalds,Charred/blistered skin,,,
965,Concussion,Bruising/swelling on head,Disorientation,Headache,Unconsciousness
966,Sprains,Swelling of joint,,,
967,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
968,Cardiac Arrest,Breathing difficulty,Chest pain,Unconsciousness,
969,Stroke,Lopsided facial expression,Slurred speech,,
970,Stroke,Slurred speech,Unconsciousness,,
971,Sprains,Bruising of joint,,,
972,Heatstroke,High body temperature,,,
973,Burn/Scalds,Red/peeling skin,,,
974,Heatstroke,Clammy skin,,,
975,Heatstroke,Clammy skin,Excessive sweating,,
976,Sprains,Bruising of joint,Swelling of joint,,
977,Cardiac Arrest,Breathing difficulty,Unconsciousness,Absence of pulse,
978,Hyperventilation,Palpitation/rapid pulse,Breathing difficulty,Disorientation,Dizziness/light-headed
979,Concussion,Disorientation,Bruising/swelling on head,Unconsciousness,
980,Bone Fracture/Dislocation,Bruising of joint,,,
981,Hyperventilation,Disorientation,Palpitation/rapid pulse,Dizziness/light-headed,Breathing difficulty
982,Stroke,Loss of arm mobility,Unconsciousness,Lopsided facial expression,
983,Heatstroke,High body temperature,Excessive sweating,Clammy skin,Dizziness/light-headed
984,Heatstroke,Dizziness/light-headed,,,
985,Burn/Scalds,Charred/blistered skin,Red/peeling skin,,
986,Hyperventilation,Disorientation,,,
987,Heatstroke,Dizziness/light-headed,Excessive sweating,,
988,Hyperventilation,Breathing difficulty,Palpitation/rapid pulse,Disorientation,Dizziness/light-headed
989,Sprains,Swelling of joint,Bruising of joint,,
990,Epileptic Seizures,Unconsciousness,,,
991,Stroke,Loss of arm mobility,Lopsided facial expression,,
992,Bone Fracture/Dislocation,Swelling of joint,,,
993,Concussion,Headache,Disorientation,,
994,Concussion,Unconsciousness,,,
995,Sprains,Swelling of joint,,,
996,Stroke,Lopsided facial expression,Unconsciousness,Loss of arm mobility,
997,Concussion,Unconsciousness,Disorientation,,
998,Stroke,Loss of arm mobility,,,
999,Epileptic Seizures,Disorientation,Jerking of limbs,,
